run_id,lr,gamma,buffer,batch,expl,tui,diff,mean_reward,std_reward,train_time_s
0,0.001,0.99,50000,32,0.4,1000,0.2,-54.5,14.67,861.2
1,0.0005,0.99,100000,128,0.5,1000,0.2,-44.82,14.99,915.5
2,0.0003,0.99,100000,256,0.5,1000,0.3,-18.15,36.91,960.5
3,0.001,0.99,50000,64,0.6,1000,0.3,-46.66,14.84,940.5
4,0.0005,0.99,100000,128,0.7,1000,0.4,-50.29,141.68,996.3
5,0.001,0.99,50000,32,0.2,500,0.4,-59.25,0.37,816.1
6,0.001,0.95,50000,128,0.5,1000,0.5,-36.92,28.38,993.6
7,0.0005,0.99,100000,128,0.6,500,0.5,-32.98,32.99,959.4
8,0.0003,0.99,100000,256,0.7,500,0.6,-23.7,54.73,1055.0
9,0.0005,0.99,100000,256,0.65,500,0.7,-21.05,53.11,1009.9
